LGA_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA10050,1607,3100,89,69,159,1615,1729,3348,33,52,80,1431,1613,3044,88,72,161,1554,1733,3283,43,56,98,1543,1624,3163,95,76,171,1677,1751,3430,25,41,65,1487,1617,3102,93,87,176,1607,1733,3340,29,30,67,1538,1741,3278,82,72,153,1650,1849,3494,53,53,103,4635,5711,10347,225,287,516,4915,6050,10967,1004,1121,2126,24570,26470,51047,1510,1409,2923,27087,29007,56093
LGA10180,631,1273,47,50,98,728,744,1471,35,43,81,638,744,1389,52,59,110,732,845,1574,42,52,85,687,740,1425,56,59,113,782,846,1627,66,47,111,785,824,1608,67,60,129,919,933,1853,36,33,69,739,817,1558,50,43,99,827,894,1720,61,69,132,2259,2627,4881,205,298,503,2523,2994,5517,1044,1162,2205,11671,12505,24174,1289,1449,2744,14005,15115,29124
LGA10250,1291,2442,73,61,132,1272,1386,2658,49,74,120,1244,1399,2645,58,68,129,1353,1540,2891,50,60,116,1293,1463,2753,71,75,142,1416,1597,3010,44,40,85,1401,1512,2912,69,65,138,1513,1620,3129,44,28,73,1450,1686,3134,77,88,161,1576,1806,3372,54,74,129,5384,6398,11778,272,343,617,5710,6814,12524,858,946,1804,20268,21907,42177,1142,1163,2307,22271,24019,46296
LGA10300,39,82,11,9,18,59,50,108,7,8,12,55,55,102,6,16,24,68,69,136,0,0,4,60,65,124,15,5,20,73,78,151,3,3,10,73,71,139,6,11,17,86,86,166,4,5,7,70,65,138,12,11,24,87,82,163,9,7,16,181,190,366,33,33,70,221,231,453,63,74,141,905,873,1780,142,148,289,1116,1098,2208
LGA10470,1090,2171,70,62,124,1238,1228,2463,90,79,163,1157,1213,2371,60,77,131,1309,1363,2670,63,66,132,1188,1256,2440,66,70,140,1322,1395,2715,33,52,85,1205,1239,2449,68,54,119,1309,1345,2651,34,49,86,1211,1260,2466,69,65,131,1312,1374,2686,68,76,148,3576,3986,7557,173,194,370,3820,4257,8073,1650,1504,3153,19165,19201,38368,1044,998,2043,21857,21705,43567
LGA10500,5370,10912,303,256,558,5878,5674,11557,53,67,119,4975,5170,10142,252,232,483,5276,5468,10742,52,65,121,4496,4865,9360,219,189,403,4762,5123,9882,49,54,103,4347,4480,8825,212,217,431,4602,4748,9352,46,35,76,3737,4021,7757,165,138,308,3943,4199,8143,58,73,131,11294,13233,24526,604,729,1334,11951,14040,25996,942,1012,1962,81958,82630,164583,4423,4214,8638,87327,87860,175184
LGA10550,814,1502,45,48,95,758,887,1646,32,34,66,857,940,1802,76,66,139,967,1040,2002,29,28,66,990,1136,2125,77,75,150,1097,1243,2343,45,43,87,1162,1415,2571,95,95,194,1300,1553,2852,30,32,61,1529,1701,3225,88,101,194,1649,1833,3483,64,48,111,4762,4858,9615,346,338,685,5164,5243,10408,688,696,1386,15752,16465,32217,1190,1152,2342,17628,18307,35942
LGA10600,308,578,30,33,61,312,343,652,18,21,33,333,412,741,40,39,74,388,468,850,11,15,29,363,452,816,33,35,69,414,501,916,15,17,34,438,526,969,28,36,64,479,583,1065,15,13,31,522,592,1115,34,21,57,565,636,1196,21,13,41,1623,1678,3310,103,106,217,1752,1809,3558,272,292,562,5693,6070,11762,464,465,927,6423,6827,13253
LGA10650,209,379,19,14,31,193,236,431,11,10,15,212,212,423,20,24,45,239,244,482,3,8,9,223,203,426,19,33,47,250,241,484,7,9,9,226,249,469,19,25,41,247,276,523,0,6,9,315,358,675,38,30,69,354,394,752,16,12,24,1278,1274,2556,127,120,247,1421,1409,2832,131,130,263,3750,3879,7626,383,391,773,4261,4402,8665
LGA10750,14025,29069,675,691,1366,15961,14991,30947,243,290,543,12101,11610,23707,609,543,1149,12956,12449,25402,259,320,579,10209,10445,20655,475,449,926,10950,11211,22165,187,217,407,9410,9579,18989,406,352,760,10006,10152,20158,139,169,302,8067,8611,16679,367,369,732,8568,9143,17714,240,322,563,18927,22165,41094,923,1185,2104,20092,23669,43764,5792,6017,11812,182366,183324,365693,9712,9558,19272,197876,198905,396776
LGA10800,139,271,20,22,37,158,162,325,6,10,17,134,141,279,16,11,25,159,156,317,9,7,15,136,152,289,13,10,24,158,169,328,5,10,19,190,137,325,22,8,28,215,153,371,9,4,19,183,184,373,17,15,33,213,205,421,16,11,25,547,577,1124,55,63,116,616,656,1268,192,175,365,2352,2347,4693,253,237,489,2790,2758,5547
LGA10850,182,354,7,11,16,179,208,383,8,11,16,202,220,418,15,15,28,228,237,462,11,12,27,225,252,477,24,17,45,258,280,544,13,8,22,245,233,479,21,15,33,275,263,538,6,6,11,248,268,518,22,21,45,281,293,572,9,4,14,701,683,1385,62,55,121,772,746,1517,226,209,433,3255,3337,6588,243,232,478,3721,3778,7497
LGA10900,2432,4639,70,78,147,2336,2567,4905,54,70,123,2498,2696,5188,81,94,175,2633,2856,5489,38,64,100,2532,2699,5227,62,78,144,2631,2840,5472,47,51,94,2405,2749,5155,74,81,155,2524,2880,5408,36,51,86,2593,2974,5573,76,66,144,2704,3090,5794,64,80,146,7682,9055,16738,284,375,657,8031,9503,17539,1011,1091,2101,35655,37915,73569,1196,1252,2449,37865,40258,78121
LGA10950,44,83,4,4,7,48,50,103,7,9,17,61,70,128,8,3,12,75,87,160,8,15,24,76,62,139,5,8,15,85,90,174,10,5,22,80,64,148,16,8,23,108,79,188,7,9,18,48,54,105,8,7,11,64,69,132,12,15,30,208,222,429,21,17,38,244,252,498,205,232,440,939,911,1845,101,82,184,1240,1225,2467
LGA11150,39,70,12,9,23,58,69,122,20,30,49,35,29,62,5,12,13,61,63,128,25,26,50,45,50,97,15,13,26,95,86,173,22,15,39,50,50,104,12,8,19,81,82,164,21,28,46,47,38,89,9,11,18,82,76,158,27,35,60,127,116,248,27,23,41,174,173,356,345,365,708,654,627,1283,162,180,342,1164,1178,2340
LGA11200,6,21,6,3,4,25,25,49,11,20,35,3,15,21,3,8,9,21,38,63,23,29,53,17,17,34,7,8,20,51,59,104,27,21,45,25,19,47,6,7,16,65,48,109,22,22,45,22,16,36,6,7,15,52,50,100,35,46,84,53,42,87,21,10,31,105,99,204,340,362,697,238,217,453,99,104,204,676,679,1356
LGA11250,374,727,45,45,95,437,458,894,41,46,95,386,394,782,33,37,68,467,477,944,38,48,86,458,433,895,54,34,85,547,517,1066,29,27,56,520,566,1086,37,37,74,591,629,1218,35,32,64,582,625,1214,37,37,72,655,696,1348,37,49,90,1682,1971,3660,127,211,333,1846,2232,4080,858,891,1751,7027,7397,14423,687,730,1416,8565,9020,17588
LGA11300,1029,2058,39,36,77,1071,1075,2141,0,3,7,1027,1144,2169,45,45,83,1066,1191,2257,0,0,9,978,1176,2159,36,42,82,1022,1226,2245,3,3,3,1000,1077,2070,25,31,58,1024,1112,2137,0,3,5,903,969,1868,51,42,93,961,1015,1970,5,12,17,2525,3106,5632,187,328,517,2722,3445,6167,76,86,160,18666,19481,38146,917,992,1912,19657,20556,40217
LGA11350,1176,2204,128,121,252,1181,1319,2500,25,24,52,1093,1283,2370,127,140,269,1247,1444,2695,22,18,40,1030,1218,2246,104,124,221,1151,1351,2506,18,20,35,1061,1186,2247,103,114,220,1178,1320,2494,15,16,33,1163,1267,2428,118,121,238,1295,1406,2700,27,22,53,2999,3093,6093,302,257,556,3329,3375,6703,343,343,685,15272,16689,31961,1702,1767,3460,17313,18800,36116
LGA11400,351,692,29,27,56,384,394,780,15,19,29,395,417,817,36,40,73,442,474,916,18,17,32,407,413,821,29,30,59,453,461,911,22,18,42,421,467,887,37,27,68,474,517,993,6,14,22,451,452,905,36,27,62,495,497,996,28,16,44,1361,1365,2721,102,99,203,1490,1483,2973,350,336,693,6023,6102,12124,473,474,952,6851,6915,13766
LGA11450,4011,7986,120,125,241,4194,4235,8423,75,93,165,3747,3747,7499,105,78,185,3928,3924,7853,61,66,128,3056,3087,6148,78,70,151,3193,3232,6429,50,59,111,2512,2771,5285,71,73,141,2636,2900,5538,47,50,102,2148,2411,4565,57,72,125,2253,2538,4790,61,93,151,5207,6139,11343,168,183,355,5438,6413,11847,1888,1984,3868,55046,57090,112138,1646,1667,3314,58587,60735,119325
LGA11500,5453,11196,301,304,600,6198,5980,12172,133,188,319,4930,4884,9809,296,264,562,5362,5333,10694,133,157,292,4319,4570,8883,216,196,414,4670,4923,9592,103,140,243,4475,4879,9358,218,214,432,4795,5231,10027,85,128,211,4313,4637,8945,156,157,313,4553,4919,9472,150,209,354,10251,11786,22033,460,608,1069,10860,12602,23459,3421,3784,7205,78919,81643,160565,4301,4445,8747,86646,89874,176519
LGA11520,3110,6045,105,111,212,3057,3231,6284,13,10,27,2732,3133,5866,80,85,169,2823,3232,6059,11,14,28,2546,2942,5484,89,78,162,2649,3024,5675,12,11,24,2447,2850,5297,67,80,149,2524,2946,5470,11,11,24,2144,2488,4633,59,68,132,2216,2568,4782,12,23,32,6381,7825,14204,313,486,797,6705,8327,15033,262,239,502,41089,44275,85370,1603,1699,3304,42959,46218,89177
LGA11570,11348,22495,729,686,1417,11939,12113,24045,72,90,158,10690,11104,21791,645,620,1268,11408,11816,23222,71,86,158,10264,10901,21170,568,558,1124,10900,11549,22450,62,72,136,10253,10460,20715,557,530,1087,10877,11062,21938,58,61,122,9337,9621,18956,474,431,903,9870,10114,19985,105,130,239,24446,27530,51979,1561,1858,3423,26117,29515,55638,1333,1473,2805,173575,172867,346445,11103,10654,21759,186002,184997,371006
LGA11600,69,133,9,10,19,83,80,164,3,4,4,67,58,131,14,9,16,85,73,161,3,3,13,96,69,165,21,12,34,126,84,209,8,0,18,80,76,154,11,11,16,108,85,189,4,9,13,91,65,162,11,18,26,108,94,199,11,7,15,197,175,371,27,21,47,235,203,435,124,125,253,1229,1066,2296,172,144,321,1527,1343,2866
LGA11650,9712,18835,443,469,909,9954,10620,20567,371,420,786,9740,10445,20185,488,485,975,10598,11343,21944,362,441,807,9931,10623,20554,494,384,876,10791,11447,22238,322,407,727,10037,10814,20852,442,459,901,10807,11674,22485,257,315,572,9821,11225,21045,401,378,779,10482,11913,22398,485,575,1055,32599,39537,72132,1594,2155,3748,34674,42264,76941,8392,8655,17047,152076,162064,314135,7513,7909,15418,167980,178618,346596
LGA11700,18,43,3,9,17,44,46,91,21,16,38,25,22,50,9,11,21,59,48,111,15,29,44,23,25,55,4,10,10,51,63,110,13,19,32,24,28,53,12,17,32,58,61,120,11,15,26,41,32,73,19,8,21,65,53,122,33,21,51,138,101,241,30,28,59,203,147,352,295,331,630,412,355,764,169,160,329,876,846,1725
LGA11720,1525,3206,80,83,157,1937,1760,3695,138,147,286,1698,1645,3343,61,87,152,1898,1884,3777,146,149,292,1795,1714,3501,95,75,172,2031,1937,3970,116,108,226,1649,1671,3317,83,72,157,1846,1856,3703,96,123,218,1754,1823,3580,80,61,142,1933,2007,3936,151,172,322,4819,5191,10010,242,252,495,5218,5617,10828,3395,3086,6480,27244,27134,54378,1393,1375,2773,32030,31603,63632
LGA11730,1180,2295,106,105,211,1325,1379,2698,102,122,224,1320,1360,2680,121,107,227,1546,1581,3129,113,120,236,1386,1562,2948,110,100,212,1608,1781,3394,106,96,199,1718,1803,3523,142,102,246,1966,2005,3976,76,77,154,1963,2065,4035,143,105,245,2183,2253,4436,140,179,318,6720,7056,13782,370,359,728,7232,7597,14832,2299,2095,4391,23005,23357,46360,1759,1608,3362,27064,27059,54115
LGA11750,67,155,14,15,31,117,101,224,16,18,32,85,80,160,17,9,30,116,109,221,13,15,23,90,69,156,21,18,38,124,98,219,9,14,24,111,104,211,25,16,34,142,132,275,8,13,19,128,98,224,20,19,35,156,123,280,29,24,51,271,265,537,42,46,90,344,337,680,269,310,579,1488,1383,2869,304,303,610,2062,1993,4059
LGA11800,2124,4016,151,123,275,2137,2391,4535,105,116,223,2097,2312,4407,137,118,250,2341,2545,4889,100,131,230,2113,2343,4462,127,118,248,2345,2591,4933,76,102,179,2177,2464,4639,118,123,243,2369,2696,5064,102,93,187,2395,2685,5075,137,112,250,2629,2887,5518,123,168,289,7876,8933,16808,476,650,1126,8480,9745,18225,2196,2363,4558,33637,36139,69779,2175,2244,4418,38010,40746,78759
LGA12000,107,208,8,9,12,121,118,236,4,3,11,110,111,217,6,9,20,118,128,245,7,9,14,119,143,257,3,8,16,126,153,286,0,7,8,138,133,271,8,8,6,145,141,290,3,10,13,129,149,274,6,14,24,141,167,307,4,8,12,485,477,965,33,26,57,523,516,1034,98,145,244,1935,1956,3893,125,122,252,2166,2227,4385
LGA12150,42,78,14,11,23,78,91,164,30,38,69,46,55,98,10,11,20,84,108,192,37,43,77,75,66,141,14,15,26,128,120,248,37,34,73,81,75,160,15,17,35,137,122,265,24,26,51,74,97,171,12,12,22,115,135,247,55,66,114,273,252,528,34,45,78,361,363,724,634,637,1267,982,968,1951,258,256,515,1865,1861,3732
LGA12160,249,476,25,20,44,268,283,553,22,16,38,263,298,565,27,30,54,308,348,661,11,15,26,279,302,581,24,12,34,314,327,645,17,17,37,341,351,691,38,23,62,393,390,784,23,14,39,388,413,805,25,20,48,442,447,894,39,42,84,1419,1520,2942,92,113,199,1552,1679,3227,379,345,728,4879,4986,9865,422,394,814,5672,5732,11403
LGA12350,253,515,20,16,40,311,295,608,25,27,49,301,318,619,28,23,49,351,369,722,34,32,60,345,359,706,43,27,69,421,419,838,36,24,56,390,379,766,32,29,58,455,420,880,21,21,41,390,398,784,32,23,50,437,442,876,40,43,87,1480,1616,3098,107,94,204,1621,1757,3382,551,572,1126,5263,5371,10636,501,458,956,6316,6409,12724
LGA12380,6806,14807,606,463,1074,8649,7312,15958,36,42,82,6392,5961,12349,467,385,850,6898,6389,13285,35,44,83,5906,5963,11874,426,326,756,6371,6339,12713,38,43,82,5750,5769,11522,344,358,699,6138,6172,12308,25,34,55,5027,5178,10202,303,291,599,5351,5504,10858,73,73,148,12614,13973,26590,790,852,1641,13482,14895,28375,703,808,1516,112580,106055,218628,8216,7072,15292,121502,113938,235439
