LGA_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA14220,375,728,43,42,79,432,467,898,20,47,75,412,444,857,53,55,105,491,543,1036,46,60,106,446,463,917,58,53,112,555,577,1130,47,38,84,485,491,980,46,50,96,581,581,1160,33,42,74,501,533,1033,42,52,91,576,631,1206,68,82,146,1718,1903,3617,158,145,301,1940,2125,4067,956,1017,1975,7015,7274,14297,807,784,1587,8780,9072,17853
LGA14300,113,304,10,6,16,234,132,363,34,9,46,214,150,366,16,10,25,269,169,434,18,14,28,194,168,357,9,7,18,226,181,406,9,6,18,199,168,368,13,12,23,224,184,408,12,3,11,209,203,418,18,9,28,240,218,460,5,15,18,577,569,1144,34,39,75,618,615,1235,432,161,587,3057,2440,5499,174,152,327,3664,2756,6415
LGA14350,602,1200,56,69,120,750,768,1515,84,96,187,649,686,1335,79,60,138,818,842,1659,84,106,192,792,787,1579,65,80,139,939,972,1909,96,106,203,892,999,1888,87,66,156,1071,1179,2253,79,96,179,1108,1105,2215,60,67,124,1250,1275,2520,130,156,284,3631,3670,7303,221,238,458,3979,4068,8052,2013,1946,3959,12318,12213,24530,1096,1106,2200,15426,15262,30688
LGA14400,604,1156,12,19,37,571,639,1218,16,10,27,606,693,1294,25,30,52,648,732,1376,18,19,35,623,675,1295,34,22,58,669,714,1388,10,17,33,716,782,1499,30,17,50,759,818,1577,14,16,27,823,943,1763,32,34,64,864,995,1860,26,21,44,2820,3191,6010,156,151,308,2998,3361,6363,259,272,534,10502,11144,21653,456,427,889,11220,11851,23074
LGA14500,4713,8726,68,56,125,4086,4783,8874,8,15,20,4289,4940,9232,72,78,153,4369,5035,9405,14,11,27,4383,4852,9233,84,84,167,4482,4950,9428,9,13,19,3958,4162,8120,73,67,139,4031,4236,8270,8,8,14,3305,3512,6816,68,62,125,3386,3578,6962,12,12,27,10533,12753,23287,281,400,685,10830,13169,23999,153,144,299,58527,62807,121334,1169,1271,2439,59850,64222,124076
LGA14550,193,377,26,28,51,218,237,455,12,9,26,212,259,473,22,23,42,242,298,542,9,12,27,256,289,544,28,35,62,290,339,629,9,16,32,366,362,730,40,47,87,420,423,842,15,19,33,454,404,854,45,35,79,513,457,962,18,24,43,1152,1117,2273,85,86,174,1260,1228,2487,259,268,525,3970,4017,7984,421,429,850,4648,4708,9359
LGA14600,115,232,13,12,28,153,156,312,24,37,62,124,122,249,24,19,40,166,179,344,27,32,59,128,129,254,21,22,46,172,185,357,25,36,61,131,132,264,21,22,46,181,189,366,26,35,58,189,158,346,30,21,50,239,210,450,54,47,103,538,554,1096,52,52,101,643,658,1299,521,590,1118,2182,2103,4289,333,354,689,3046,3048,6094
LGA14650,6005,11557,248,192,437,6083,6490,12574,257,308,567,6014,6387,12402,221,217,440,6496,6911,13413,259,270,527,6169,6335,12498,202,138,336,6628,6735,13362,212,247,460,5946,6593,12532,224,195,419,6379,7035,13417,182,171,356,6277,6824,13104,202,208,407,6666,7205,13864,353,415,768,20352,24206,44559,779,969,1751,21480,25595,47076,5859,5899,11759,94823,100066,194889,3632,3570,7196,104311,109529,213845
LGA14700,1624,3131,44,51,98,1552,1683,3236,10,3,16,1289,1404,2685,28,31,59,1321,1445,2763,0,6,8,1171,1235,2404,36,28,63,1206,1270,2474,5,4,8,995,1093,2093,26,24,48,1026,1120,2148,3,4,4,848,941,1788,25,24,48,872,976,1845,3,6,6,2439,2937,5376,99,183,277,2537,3123,5660,80,69,152,18661,19398,38059,571,664,1233,19305,20130,39438
LGA14750,281,525,23,20,45,270,321,596,16,19,39,289,279,570,37,20,56,339,320,656,20,6,26,316,315,638,26,35,61,366,361,727,15,15,34,329,302,622,25,29,53,370,345,716,13,13,28,311,338,654,28,26,56,357,381,736,21,20,44,877,1002,1881,65,62,129,963,1091,2056,390,432,823,4808,4916,9721,449,460,908,5643,5808,11452
LGA14850,1237,2331,87,113,202,1243,1425,2667,63,78,141,1231,1339,2573,115,102,214,1416,1517,2929,76,71,143,1288,1418,2704,124,77,208,1485,1569,3055,60,61,124,1436,1463,2895,108,97,207,1608,1621,3227,63,61,118,1527,1577,3097,103,91,190,1689,1725,3411,66,81,151,3955,4539,8493,287,304,595,4317,4921,9240,1307,1290,2600,18855,19710,38564,1602,1564,3164,21758,22573,44334
LGA14870,441,887,41,36,75,533,516,1051,45,51,97,545,563,1113,36,44,79,622,666,1286,39,34,76,588,581,1166,50,34,90,675,652,1325,41,38,83,670,733,1403,56,36,91,767,809,1579,32,21,54,730,714,1444,50,40,89,810,783,1589,74,67,139,2227,2435,4661,162,146,305,2458,2648,5107,861,761,1621,8937,8929,17867,728,621,1350,10529,10313,20842
